Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.030971649461431,-0.031085625866862,0.000247084534169403,0,0,0,0.133130868705323,0.000156497747628347,1.78264228149285E-06,-5.44514144764032E-07,0.000236704140098607,-7.59621298817305E-07,0.000225931856471351,0,0,0,0,0,0,package://15000/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://15000/meshes/base_link.STL,,frontbody^trash-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
head_Link,0.0117619595110887,0.000618884158474811,0.000964914095609476,0,0,0,0.0527277167389325,1.01030010194957E-05,-8.75802691487392E-10,5.9480793444818E-10,1.42312139428162E-05,3.44195415755092E-07,1.42576099104626E-05,0,0,0,0,0,0,package://15000/meshes/head_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://15000/meshes/head_Link.STL,,headmotor^trash-1,Origin_head,Axis_head,head,continuous,0.0893885432328295,0,0.014512544804353,1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,
fl_Link,0.0338459492727112,-0.0174348529273278,-0.000664557069515785,0,0,0,0.102176040710068,2.17047088054011E-05,-7.34202200113796E-09,-8.84437637125691E-08,2.26375244345601E-05,4.44347576873787E-09,2.48313813095606E-05,0,0,0,0,0,0,package://15000/meshes/fl_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://15000/meshes/fl_Link.STL,,leftmotor^trash-1,Origin_fl,Axis_fl,fl,continuous,0,0.0425000000000014,-0.0179200000000013,1.5707963267949,0,0,base_link,1,0,0,,,,,,,,,,,,
flu_Link,-0.0265165023849327,-0.0265165042065515,-0.00249999998971218,0,0,0,0.00406221234814765,1.16080374925772E-06,-1.11891146019251E-06,9.23049258517675E-13,1.16080187962183E-06,9.23101881555685E-13,2.30467947314956E-06,0,0,0,0,0,0,package://15000/meshes/flu_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://15000/meshes/flu_Link.STL,,flup^trash-1,Origin_flu,Axis_flu,flu,continuous,0.0506019984284765,-0.024,-0.020919999999998,0,0,0,fl_Link,0,0,1,,,,,,,,,,,,
fld_Link,0.0229819566336668,-0.0229800181697113,-0.00250249980821764,0,0,0,0.00356359900136138,7.91127640907441E-07,7.54478572216687E-07,-1.3732499099382E-13,7.91267384107825E-07,-5.47360328967229E-14,1.56754649760368E-06,0,0,0,0,0,0,package://15000/meshes/fld_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://15000/meshes/fld_Link.STL,,fldown^trash-1,Origin_fld,Axis_fld,fld,continuous,-0.053033004189764,-0.053033008613308,-0.00499749999999984,0,0,0,flu_Link,0,0,1,,,,,,,,,,,,
fr_Link,-0.0564492206652901,-0.0500246567643227,0.0934611354948225,0,0,0,0.101681978498325,2.17199598750829E-05,-6.03175979751198E-09,-5.99714764676078E-07,2.26531159119612E-05,-4.71970509546483E-09,2.48738819509887E-05,0,0,0,0,0,0,package://15000/meshes/fr_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://15000/meshes/fr_Link.STL,,rightmotor^trash-1,Origin_fr,Axis_fr,fr,continuous,0.0893885432328295,0.05,0.014512544804353,1.5707963267949,0,0,base_link,1,0,0,,,,,,,,,,,,
fru_Link,-0.0265165014457784,-0.0265165033855314,0.00250000001028801,0,0,0,0.00406221252846474,1.16080869284135E-06,-1.11891152985774E-06,9.23049258369199E-13,1.16079709041533E-06,9.23101882041116E-13,2.3046796270759E-06,0,0,0,0,0,0,package://15000/meshes/fru_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://15000/meshes/fru_Link.STL,,frup^trash-1,Origin_fru,Axis_fru,fru,continuous,-0.038786544804369,-0.056432544804356,0.113419999999999,0,0,0,fr_Link,0,0,1,,,,,,,,,,,,
frd_Link,0.0229818579665801,-0.0229799756505562,0.00250250019178311,0,0,0,0.00356359014521966,7.91120612612728E-07,7.54471598769546E-07,-1.37325058264486E-13,7.91261362469203E-07,-5.47360035804337E-14,1.5675334698107E-06,0,0,0,0,0,0,package://15000/meshes/frd_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://15000/meshes/frd_Link.STL,,frdown^trash-1,Origin_frd,Axis_frd,frd,continuous,-0.053033004189764,-0.053033008613308,0.0049975,0,0,0,fru_Link,0,0,1,,,,,,,,,,,,
mid_Link,-0.0122576056190091,-0.0200450320396147,0.000948154051021917,0,0,0,0.0537745171879155,1.01325367066564E-05,5.24778766400573E-08,5.25068509623775E-09,1.42855417631993E-05,3.44165561494933E-07,1.4286173190229E-05,0,0,0,0,0,0,package://15000/meshes/mid_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://15000/meshes/mid_Link.STL,,middlemotor^trash-1,Origin_mid,Axis_mid,mid,continuous,-0.0245188755914315,0,-0.0142731748126858,1.57090012051436,-0.0127796623458294,0,base_link,0.0127793144867515,0.999918335840418,-0.000103785243606855,,,,,,,,,,,,
back_Link,-0.0535090311518191,-0.00416358984390008,-0.000414067912073344,0,0,0,0.106554823685297,0.000119508820000906,1.6063065901913E-05,7.50295718703574E-08,0.000148529021779211,8.58984936926495E-07,0.00012415586791796,0,0,0,0,0,0,package://15000/meshes/back_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://15000/meshes/back_Link.STL,,backmotor^trash-1,Origin_back,Axis_back,back,continuous,-0.0242682786254853,-0.0208381213609202,0,-0.000103785243793265,0,-0.0127796622769984,mid_Link,0,0,1,,,,,,,,,,,,
bl_Link,-0.0469889506146491,-0.0175508736012997,-0.000596672004743386,0,0,0,0.104236401105257,2.17710499090602E-05,6.22191638138301E-09,-5.9884774556462E-07,2.26749011274999E-05,4.43978109748149E-09,2.49275154104964E-05,0,0,0,0,0,0,package://15000/meshes/bl_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://15000/meshes/bl_Link.STL,,leftbackmotor^trash-1,Origin_bl,Axis_bl,bl,continuous,-0.00148112440856834,0.0174997266350172,-0.0425000000000014,0,0,-0.00349065850396839,back_Link,1,0,0,,,,,,,,,,,,
blu_Link,0.0265163577985764,-0.0265163602270144,-0.00250000000086874,0,0,0,0.00406221250805832,1.1608019874326E-06,1.11890505234914E-06,-2.66699636836182E-13,1.16079036352667E-06,-2.66561212461074E-13,2.30466619493153E-06,0,0,0,0,0,0,package://15000/meshes/blu_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://15000/meshes/blu_Link.STL,,blup^trash-1,Origin_blu,Axis_blu,blu,continuous,-0.064472391719309,-0.0239947232966536,-0.0207500001524473,0,0,0.00349065850396839,bl_Link,0,0,1,,,,,,,,,,,,
bld_Link,-0.0229819103550828,-0.0229800330768459,-0.0025025052504575,0,0,0,0.00356358053082394,7.91120419351466E-07,-7.54466663642493E-07,5.59734025370847E-13,7.91255374362716E-07,3.10321482247735E-13,1.56752736055112E-06,0,0,0,0,0,0,package://15000/meshes/bld_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://15000/meshes/bld_Link.STL,,bldown^trash-1,Origin_bld,Axis_bld,bld,continuous,0.0530330041897657,-0.0530330086133156,-0.00499749999999981,0,0,0,blu_Link,0,0,1,,,,,,,,,,,,
br_Link,-0.0478187790047193,-0.0175906895505778,0.000607211463771171,0,0,0,0.104148826463546,2.17718676802612E-05,-1.30397150756508E-09,-8.91460485925873E-08,2.26730034767296E-05,5.75378772755347E-09,2.49270205981497E-05,0,0,0,0,0,0,package://15000/meshes/br_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://15000/meshes/br_Link.STL,,rightbackmotor^trash-1,Origin_br,Axis_br,br,continuous,-0.00148112440856834,0.0174997266350156,0.0425000000000025,0,0,-0.00349065850389415,back_Link,1,0,0,,,,,,,,,,,,
bru_Link,0.0265163587377165,-0.0265163610480265,0.00249999999913193,0,0,0,0.00406221232774106,1.16079704384991E-06,1.11890498268491E-06,-2.66699637373602E-13,1.16079515273422E-06,-2.66561211726821E-13,2.30466604100718E-06,0,0,0,0,0,0,package://15000/meshes/bru_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://15000/meshes/bru_Link.STL,,brup^trash-1,Origin_bru,Axis_bru,bru,continuous,-0.0644719247914254,-0.0239947232966645,0.0207899998475324,0,0,0.00349065850389415,br_Link,0,0,1,,,,,,,,,,,,
brd_Link,-0.0229820090223071,-0.0229800755959746,0.00250249474955597,0,0,0,0.00356358938696592,7.91127447628845E-07,-7.54473637061577E-07,5.59735883275792E-13,7.91261395964583E-07,3.10322289576468E-13,1.56754038829001E-06,0,0,0,0,0,0,package://15000/meshes/brd_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://15000/meshes/brd_Link.STL,,brdown^trash-1,Origin_brd,Axis_brd,brd,continuous,0.0530330041897581,-0.0530330086133145,0.00499750000000057,0,0,0,bru_Link,0,0,1,,,,,,,,,,,,
